"site","sample","species","ycollect","ypublish","tech","CaPERC","KPERC","MgPERC","NPERC","PPERC","SPERC","Al","As","B","Ba","Cd","Co","Cr","Cu","Fe","Mn","Mo","Na","Ni","Pb","Se","Si","Sr","Ti","V","Zn","Cl","Br","Rb","Cu.Zn","Fe.Ti","F","lat","long","state"
"WRNF_FTWA_1","1219","rhizoplaca","2009","2009","ICP","6.03","0.25","0.089","0.72","0.083","0.083","bdl","2.61","","23.27","1.43","1.7","7.34","7.69","2380","37.97","bdl","5.51","3.65","10.12","bdl","bdl","55.03","133.7","bdl","59.45","","","","0.13","17.8","",39.96071,-107.24697,"colorado"
"WRNF_FTWA_20","1200","rhizoplaca","2009","2009","ICP","3.16","0.25","0.227","0.75","0.125","0.097","bdl","1.57","","17.89","1.09","3.79","11.74","5.82","6480","81.41","bdl","37.92","9.63","4.09","bdl","bdl","41.57","454.7","bdl","25.23","","","","0.23","14.3","",40.00518,-107.12118,"colorado"
"WRNF_FTWA_2","1198","rhizoplaca","2009","2009","ICP","1.82","0.25","0.074","0.72","0.063","0.1","bdl","2.3","","13.76","0.81","0.67","3.91","3.93","1344","27.09","bdl","23.3","2.31","101.15","bdl","1.49","23.4","70.24","bdl","23.51","","","","0.17","19.1","",40.00641,-107.17184,"colorado"
"WRNF_FTWA_17","1202","rhizoplaca","2009","2009","ICP","3.28","0.22","0.15","0.78","0.068","0.101","bdl","1.84","","13.28","0.94","1.46","7.99","5.42","3064","41.7","bdl","25.81","5.76","15.56","bdl","bdl","43.33","81.36","bdl","22.51","","","","0.24","37.7","",39.83099,-107.3033,"colorado"
"WRNF_FTWA_5","1217","rhizoplaca","2009","2009","ICP","4.27","0.26","0.068","0.85","0.078","0.11","bdl","4.02","","15.49","2.88","2.57","5.28","13.46","1103","139.3","4.85","11.51","8.19","32.49","bdl","bdl","35.3","26.96","bdl","54.37","","","","0.25","40.9","",39.77659,-107.4231,"colorado"
"WRNF_FTWA_19","1208","rhizoplaca","2009","2009","ICP","3.66","0.38","0.116","1.06","0.142","0.129","bdl","4.12","","21.21","2.11","2.41","8.62","12.52","2437","149.1","bdl","52","5.35","8.13","bdl","19.39","40.14","68.32","bdl","33.33","","","","0.38","35.7","",39.79772,-107.16575,"colorado"
"WRNF_FTWA_6","1216","rhizoplaca","2009","2009","ICP","1.9","0.4","0.09","1.38","0.183","0.176","bdl","3.01","","16.08","0.52","0.3","4.12","8.22","1245","43.28","bdl","10.54","2.4","10.43","bdl","bdl","14.06","27.98","bdl","55.09","","","","0.15","44.5","",39.78527,-107.42007,"colorado"
"ANF_3","1572","rhizoplaca","2012","2016","ICP","14.6","0.18","0.9738","0.35","0.0301","0.04","3610","4.23","35.6","112","0.33","1.55","8.1","5.43","3595","148","1.5","216","3.03","9.23","2.53","3195","625","110","nd ","29.2","","","","","","",39.943,-110.663,"utah"
"HUW_4","1588","rhizoplaca","2006","2016","ICP","1.68","0.24","0.0738","1.09","0.0616","0.12","2463","1.13","22.7","21.2","0.45","0.63","4.28","5.75","1692","51.7","1.63","73.5","1.78","8.43","2.9","131","18.1","85.7","nd ","38","","","","","","",40.88427,-110.49471,"utah"
"ANF_5","1571","rhizoplaca","2013","2016","ICP","3.19","0.31","0.0987","0.77","0.0859","0.12","2368","3.35","32.8","48.2","0.43","1.05","6.25","8","2538","39.4","2.3","177","2.43","5.25","2.9","865","35.5","77.3","nd ","43.6","","","","","","",39.952,-110.429433,"utah"
"SANF_5","1583","rhizoplaca","2011","2016","ICP","8","0.24","0.1384","0.89","0.1015","0.12","2353","5.63","25.6","45.2","0.68","0.93","6.93","5.93","2928","46.8","2.75","348","3.45","15.6","2.55","917","401","84.6","nd ","44.9","","","","","","",41.35153,-109.4196,"wyoming"
"ANF_4","1569","rhizoplaca","2013","2016","ICP","11.3","0.22","0.121","0.71","0.0601","0.09","2070","4","34.8","44.8","0.55","1.08","7.13","5.63","2908","37.3","1.68","201","2.5","15.4","2.35","2623","126","115","nd ","35.8","","","","","","",39.995417,-110.3433,"utah"
"HUW_1","1553","rhizoplaca","1992","2015","ICP","1.27","0.36","0.06","0.8","0.08","0.08","2001","0.55","","16.5","0.22","0.78","3.93","3.33","1547","20.3","0.11","664","1.5","2.98","bdl","496.4","15","46.8","bdl","17.7","","","","","","",40.91206,-110.13617,"utah"
"HUW_11","1590","rhizoplaca","2009","2016","ICP","6.73","0.24","0.1195","0.7","0.0666","0.08","1860","1.45","30.6","12.7","0.3","0.6","3.68","4.18","1370","39.5","0.88","94.7","1.58","3.68","2.25","169","44","50.1","nd ","38.1","","","","","","",40.85528,-110.87441,"utah"
"HUW_8","1578","rhizoplaca","2006","2016","ICP","3.3","0.23","0.0572","1.06","0.0623","0.12","1660","2.08","22.5","14.7","0.58","0.63","4","5.13","1142","30.7","1.1","70.2","1.93","20.9","1.9","191","28.7","71.9","nd ","35.9","","","","","","",40.56986,-110.81209,"utah"
"SANF_6","1581","rhizoplaca","2011","2016","ICP","2.98","0.29","0.0676","1.05","0.0885","0.11","1632","2.35","23.6","16.9","0.45","0.4","3.5","5.08","1162","28.8","5.75","81.1","1.5","39.9","3.28","249","28.6","61.6","nd ","36.7","","","","","","",40.90903,-109.436,"utah"
"HUW_2","1584","rhizoplaca","2006","2016","ICP","3.26","0.24","0.0624","0.86","0.0855","0.08","1620","2.88","26.6","19","0.78","0.45","3.3","3.9","1121","33.2","7.63","78.2","1.93","15.9","3.73","133","33.4","52","nd ","38.6","","","","","","",40.91995,-110.40271,"utah"
"HUW_3","1587","rhizoplaca","2006","2016","ICP","2.64","0.34","0.0917","0.99","0.1213","0.13","1552","1.9","21.3","18","0.53","0.33","2.98","5.3","1070","34.6","1.33","112","1.73","6.53","4.38","137","24.5","53.6","nd ","52","","","","","","",40.85218,-110.75217,"utah"
"SANF_3","1551","rhizoplaca","2010","2015","ICP","2.84","0.29","0.06","0.73","0.07","0.08","1550","1.31","","17","0.43","0.53","3.8","4.06","1421","22","0.28","619","1.42","5.39","0.7","448.8","38.7","55.6","bdl","22.3","","","","","","",40.96479,-109.466713,"utah"
"BDHW_2","1567","rhizoplaca","2015","2015","ICP","2.81","0.25","0.07","0.87","0.09","0.08","1392","2.29","2.15","13.6","0.3","0.69","3.33","4.6","1789","22.7","0.14","213","1.45","4.48","0.37","341.5","33.5","127","bdl","18.1","","","","","","",37.8649,-111.63411,"utah"
"ANF_2","1580","rhizoplaca","2012","2016","ICP","8.25","0.17","0.0925","0.52","0.0503","0.07","1381","1.5","26.1","13.8","0.53","0.65","3.88","3.35","1188","19.8","2.6","97.4","1.35","14.2","2.55","176","121.8","49.9","nd ","30.3","","","","","","",40.078,-110.848,"utah"
"PVMW_1","1558","rhizoplaca","2015","2015","ICP","3.98","0.28","0.09","0.82","0.07","0.08","1314","0.69","1.6","10.4","0.41","0.58","3.38","4.93","1713","28.1","0.17","642","1.63","10.4","0.51","429.1","29.2","82.6","bdl","24.1","","","","","","",37.36414,-113.35078,"utah"
"BDHW_1","1565","rhizoplaca","2015","2015","ICP","1.3","0.24","0.05","1.31","0.07","0.12","1293","1.74","0.67","10.1","0.59","0.39","2.78","4.24","1143","14.7","2.32","251","1.38","20.3","bdl","348.6","31.9","53.7","bdl","28.5","","","","","","",37.96646,-111.5994,"utah"
"HUW_12","1544","rhizoplaca","2015","2015","ICP","2.01","0.27","0.05","0.8","0.08","0.08","1166","2.19","","15.6","0.47","0.37","2.66","2.76","1030","25.5","0.12","555","1.14","9.93","bdl","291.4","31.1","43.7","bdl","15.8","","","","","","",40.8873,-109.75504,"utah"
"SANF_4","1548","rhizoplaca","2010","2015","ICP","0.88","0.31","0.05","0.81","0.08","0.09","1152","0.68","","12.8","0.21","0.37","2.78","3.06","968","21.5","0.17","630","0.96","3.48","0.51","486.1","9","43.9","bdl","23.2","","","","","","",40.89203,-109.5605,"utah"
"SANF_2","1546","rhizoplaca","2010","2015","ICP","0.9","0.39","0.06","1.32","0.12","0.14","1109","0.53","","10.4","0.22","0.46","3.1","3.59","897","23.6","0.17","825","1.28","2.59","bdl","611.5","10.8","43.7","bdl","20.9","","","","","","",40.89695,-109.6254,"utah"
"HUW_6","1557","rhizoplaca","2006","2015","ICP","0.83","0.33","0.05","1.23","0.09","0.11","914","0.27","","9.8","0.19","0.47","2.21","3.37","791","29","0.55","821","0.73","3.06","bdl","453.1","8.4","39.5","bdl","16.9","","","","","","",40.80672,-110.01862,"utah"
"PVMW_2","1560","rhizoplaca","2015","2015","ICP","3.47","0.3","0.07","0.85","0.08","0.08","744","0.83","0.22","8.6","0.29","0.38","2.16","3.41","971","19.1","0.28","785","1.06","5.85","0.43","489.2","48.8","50","bdl","29.2","","","","","","",37.36798,-113.45162,"utah"
"WRNF_FTWA_16","1237","rhizoplaca","2009","2009","ICP","4.4","0.49","0.11","0.81","0.08","0.08","201.3","6.95","","77.08","4.31","3.81","19.68","20.86","2184","41.62","2.08","127.4","4.65","24.07","bdl","293.1","68.66","96.29","bdl","26.21","","","","0.8","22.7","",39.85737,-107.51546,"colorado"
"SANF_3","1261","rhizoplaca","2010","2011","ICP","2.31","0.14","0.04","0.65","0.05","0.04","157.2","0.25","","30.75","0.51","0.48","7.12","6.31","1079","15.1","bdl","57.18","1.24","13.27","bdl","96.92","30.85","14.35","bdl","14.41","","","","0.438","","",40.96479,-109.466713,"utah"
"STNF_8","1240","rhizoplaca","2010","2010","ICP","2.56","0.13","0.05","0.54","0.05","0.04","152.1","0.7","","39.73","0.83","0.64","6.75","7.46","1116","36.17","bdl","49.04","0.9","12.82","bdl","87.8","49.73","0.045","bdl","17.1","","","","0.436","","",43.89807,-114.9071,"idaho"
"WPC_7","1252","rhizoplaca","2010","2010","ICP","1.83","0.1","0.03","0.8","0.03","0.05","133.3","bdl","","13.53","0.18","0.12","5.52","5.41","364.4","8.32","bdl","54.01","0.55","6.56","bdl","96.94","27.07","12.36","bdl","16.07","","","","0.337","29.482","",39.04171,-115.30128,"nevada"
"SANF_4","1263","rhizoplaca","2010","2011","ICP","0.96","0.12","0.02","0.78","0.03","0.05","93.46","0.33","","12.17","0.12","0.1","3.1","4.37","385.5","8.69","bdl","61.4","0.57","4.54","bdl","8.88","7.35","12.84","bdl","13.76","","","","0.318","","",40.89203,-109.5605,"utah"
"MI_ReInvent_8","1267","rhizoplaca","2010","2010","ICP","0.55","0.13","0.03","0.94","0.05","0.04","87.64","0.63","","9.79","0.77","0.7","3.92","5.6","414.3","10.98","bdl","71.42","0.91","5.39","bdl","2.5","2.45","21.44","bdl","12.07","","","","0.464","19.32","",46.05427,-113.2763,"montana"
"WPC_8","1254","rhizoplaca","2010","2010","ICP","1.18","0.05","0.02","0.76","0.02","0.03","85.01","bdl","","13.42","0.11","0.18","2.34","2.86","609.9","10.17","bdl","54.9","0.44","6.35","bdl","bdl","22.1","20.96","bdl","8.64","","","","0.331","29.098","",38.9089,-115.3851,"nevada"
"WPC_6","1253","rhizoplaca","2010","2010","ICP","1.49","0.09","0.03","0.77","0.03","0.04","83.37","bdl","","16.55","0.14","0.12","2.25","3.18","460","8.09","bdl","40.68","0.72","5.54","bdl","21.18","13.91","12.06","bdl","14.72","","","","0.216","38.143","",39.121633,-115.413483,"nevada"
"SANF_2","1260","rhizoplaca","2010","2011","ICP","0.76","0.1","0.02","0.85","0.02","0.04","67.85","bdl","","9.66","0.19","0.16","2.46","3.57","241.9","7.57","bdl","54.78","0.55","3.47","bdl","9.15","7.31","6.38","bdl","10.28","","","","0.347","","",40.89695,-109.6254,"utah"
"WPC_9","1255","rhizoplaca","2010","2010","ICP","1.23","0.18","0.03","1.32","0.07","0.08","65.63","bdl","","11.68","0.14","0.03","1.98","2.9","329.1","8.97","bdl","49.19","0.5","4.5","bdl","3","15.92","9.32","bdl","9.62","","","","0.301","35.311","",38.86785,-115.374383,"nevada"
"WPC_5","1251","rhizoplaca","2010","2010","ICP","0.91","0.1","0.02","0.71","0.03","0.05","53.19","0.24","","15.34","0.25","0.41","2.26","2.7","456.1","19.56","bdl","39.44","0.9","2.53","bdl","9.02","16.51","8.84","bdl","12.38","","","","0.218","51.595","",39.242533,-115.3909,"nevada"
"WRNF_2","1345","rhizoplaca","2011","2011","ICP","1.57","0.06","0.01","0.11","0.01","0.01","","bdl","","8.75","0.16","0.02","1.56","2.49","366.4","4.38","bdl","44.58","0.12","1.62","bdl","24.38","7.18","11.97","bdl","1.87","","","","1.332","","",39.89522,-107.8704,"colorado"
"WRNF_1","1343","rhizoplaca","2011","2011","ICP","1.43","0.08","0.03","0.11","0.02","0.02","","0.87","","21.17","0.34","0.41","2.89","3.62","729.5","17.65","bdl","63.56","1.08","3.77","bdl","24.13","39.02","36.98","bdl","8.17","","","","0.443","","",39.882,-107.606,"colorado"
"WRNF_3","1347","rhizoplaca","2011","2011","ICP","3.2","0.07","0.02","1.5","0.02","0.02","","0.054","","10.75","0.31","0.11","2.8","4.09","514","7.39","bdl","57.78","0.12","3.55","bdl","27.63","9.93","12.17","bdl","4.32","","","","0.947","","",39.6845,-107.1821,"colorado"
"WRNF_4","1348","rhizoplaca","2011","2011","ICP","1.81","0.1","0.03","0.24","0.02","0.03","","0.33","","23.75","0.25","0.27","2.71","3.97","1104","10.5","bdl","79.59","0.46","6.04","bdl","24.29","15.01","33.33","bdl","6.2","","","","0.64","","",39.832,-107.0139,"colorado"
"UWCNF_8","1353","rhizoplaca","2011","2012","ICP","0.6","0.08","","0.9","0.02","0.03","","0.84","","5.83","","0.02","2.32","3.77","181","4.57","","","bdl","2.63","0.42","24.25","5.09","8.18","bdl","3.52","","","","1.071","22.127","",40.3294,-111.5293,"utah"
"WRNF_5","1350.1","rhizoplaca","2011",NA,"ICP","1.31","0.1","0.04","1.37","0.02","0.03","","1.36","","20.47","0.31","0.32","3.28","4.61","740.6","14.44","bdl","100.1","0.62","5.81","bdl","31.12","7.69","31.16","bdl","11.69","","","","0.394","","",39.561,-107.249,"colorado"
"UWCNF_4","1338","rhizoplaca","2011","2012","ICP","3.07","0.11","","0.96","0.03","0.05","","0.73","","13.62","","0.11","5.96","8.01","721.1","12.01","","","0.45","30.28","bdl","117.4","31.38","18.11","bdl","17.44","","","","0.459","39.8","",40.44035,-111.7203,"utah"
"UWCNF_7","1318","rhizoplaca","2011","2012","ICP","11.5","0.19","","1.64","0.04","0.06","","1.89","","41.64","","0.71","8.27","12.36","2258","37.37","","","2.29","53.12","bdl","120.8","61.11","103.5","bdl","32.95","","","","0.375","21.816","",39.90448,-111.7343,"utah"
"ANF_2","1393","rhizoplaca","2012","2012","ICP","8.72","0.38","0.11","0.45","0.06","0.06","","1.97","","15.7","0.59","0.34","2.19","3.56","1201","23.1","bdl","71.8","1.41","9","bdl","70.85","134.2","15.2","bdl","20.8","","","","0.171","79.013","",40.078,-110.848,"utah"
"UWCNF_15","1321","rhizoplaca","2011","2012","ICP","5.25","0.21","","0.51","0.08106","0.07","","0.88","","28.56","","0.55","4.69","6.3","1506","27.12","","","0.89","15.66","bdl","8.19","41.38","35.59","bdl","16.38","","","","0.385","42.315","",40.10977,-111.4343,"utah"
"WRNF_8","1389","rhizoplaca","2012","2012","ICP","3.84","0.46","0.09","0.71","0.07","0.08","","bdl","","16.5","1.02","0.85","2.81","4.03","1812","32","bdl","46.3","2.05","34.3","bdl","122.09","38.4","48.1","bdl","30.9","","","","0.13","","",39.598,-107.197,"colorado"
"WRNF_6","1383","rhizoplaca","2012","2012","ICP","4.2","0.53","0.08","0.63","0.09","0.08","","0.8","","19.3","0.68","0.86","2.58","4.53","1669","34.2","bdl","62.6","2.15","7.6","bdl","81.75","53.3","42.1","bdl","23","","","","0.197","","",39.676,-107.536,"colorado"
"ANF_3","1394","rhizoplaca","2012","2012","ICP","8.79","0.45","0.17","0.6","0.07","0.09","","0.21","","23.5","0.99","0.49","2.02","5.09","1866","35.8","bdl","68.2","1.74","17.7","bdl","70.86","241.9","26.2","bdl","28.9","","","","0.176","71.221","",39.943,-110.663,"utah"
"WRNF_7","1385","rhizoplaca","2012","2012","ICP","5.16","0.58","0.09","0.64","0.09","0.09","","bdl","","10","0.49","0.42","2.06","5.33","1506","31.7","bdl","33.8","0.91","2.4","bdl","103.6","42.8","10.2","bdl","18.3","","","","0.291","","",39.682,-107.575,"colorado"
"UWCNF_19","1328","rhizoplaca","2011","2012","ICP","5.88","0.31","","1.95","0.09","0.09","","2.22","","54.984","","0.75","8.76","11.782","2428","42.78","","","1.47","24.85","24.85","124.3","67.52","108.406","bdl","29.55","","","","0.399","22.397","",40.37552,-111.2926,"utah"
"MI_ReInvent_1","1366","rhizoplaca","2012","2012","ICP","0.38","0.77","0.06","1.16","0.14","0.09","","bdl","","18.6","0.29","0.35","0.78","2.13","717","32.4","bdl","58.8","0.56","3.5","bdl","bdl","8.3","35.7","bdl","20.8","","","","0.102","20.8","",45.88468,-113.7167,"montana"
"SANF_5","1309","rhizoplaca","2011","2011","ICP","6.63","0.27","0.21","0.95","0.07","0.1","","3.68","","168.5","1.28","1.5","13.01","10.93","5190","60.94","bdl","675.1","3.2","24.58","bdl","117.4","276.1","232","bdl","31.17","","","","0.351","","",41.35153,-109.4196,"wyoming"
"UWCNF_10","1397","rhizoplaca","2012","2012","ICP","8.73","0.49","0.07","0.69","0.08","0.1","","1.17","","4.4","0.97","0.35","2.01","5.99","1388","23.4","bdl","58.5","2.03","22.2","bdl","82.59","129.1","14.1","bdl","33.4","","","","0.179","98.44","",40.40203,-111.6442,"utah"
